plugin name,active installations
Contact Widgets,500000
Easy Contact Form – Form Builder Plugin – Forms for WordPress,3000
Contact Form & SMTP Plugin for WordPress by PirateForms,300000
"Contact Form, Drag and Drop Form Builder for WordPress – Everest Forms",50000
Contact Form Email,30000
Smart Grid-Layout Design for Contact Form 7,6000
Contact Form 7 MailChimp Extension,100000
WP Contact Slider,10000
"Spam protection, AntiSpam, FireWall by CleanTalk",80000
Contact Form Builder – a plugin for creating contact and feedback forms,50000
Contact Form 7 Multi-Step Forms,20000
Contact Form by Supsystic,20000
Contact Form 7 Google Analytics,10000
Very Simple Contact Form,10000
Contact Form 7 Honeypot,200000
Contact Form by BestWebSoft,100000
Caldera Forms – More Than Contact Forms,100000
Ninja Forms – The Easy and Powerful Forms Builder,1000000
Contact Form 7 Image Captcha,10000
Contact Form 7 Style,50000
Speed Contact Bar,10000
Send PDF for Contact Form 7,7000
Contact Form7 Widget For Elementor Page Builder,30000
Multiline files upload for contact form 7,700
Calculated Fields Form,40000
WordPress Contact Form Builder by Contact Bank,20000
Bootstrap for Contact Form 7,40000
Contact Form Builder for WordPress – Conversion Tools by HubSpot,50000
Contact Form Submissions,50000
Contact Form Clean and Simple,30000
Jetpack by WordPress.com,5000000
Contact Form 7 Controls,10000
"Contact Form Builder, Contact Widget",9000
Contact Form 7 Polylang Module,4000
Contact Form 7 Signature Addon,6000
Contact Form 7 add confirm,50000
All-in-One WP Migration,1000000
Contact Form 7 Captcha,40000
MailChimp for WordPress,1000000
Simple Basic Contact Form,9000
Gravity Forms Constant Contact,10000
Contact Form Manager,10000
Contact Form 7 Skins,20000
Contact Form 7 Lead info with country,4000
Quick Contact Form,7000
Form – Contact Form,800
Contact Form to DB by BestWebSoft,3000
Flamingo,400000
FormGet Contact Form,10000
Contact Form 7 Connector,2000
Mobile Contact Bar,6000
Form Builder | Create Responsive Contact Forms,20000
Contact Form,3000
Contact Form 7 – Phone mask field,5000
Akismet Anti-Spam,5000000
Contact Form for WordPress – Ultimate Form Builder Lite,30000
FormCraft – Contact Form Builder for WordPress,7000
Contact Form 7 Shortcode Enabler,10000
Contact Info Widget,7000
Contact Form 7 – Post Fields,2000
CF7 Google Sheets Connector,10000
Contact Form & Lead Form Builder,10000
Contact Form 7 Database,10000
Contact Us Page – Contact People,2000
CP Contact Form with PayPal,4000
Mailster Contact Form 7,1000
weForms – Best Contact Form Plugin for WordPress,9000
Contact Coldform,1000
Dynamic Select for Contact Form 7,4000
PDF Forms Filler for Contact Form 7,2000
NM Contact Forms,1000
Add-on Contact Form 7 – MailPoet 3,2000
Contact Form 7 Multi-Step,3000
Contact Form 7: Accessible Defaults,4000
Better Contact Form,1000
Call Now Button,100000
Contact Form 7 Dynamic Text Extension,100000
Contact Form 7 Material Design,1000
Contact Form 7 Live Preview,4000
Jquery Validation For Contact Form 7,10000
Contact Form Builder WordPress Plugin by vCita,6000
"Contact Form Widget – Query , Report Form",1000
CRM: Contact Management Simplified – UkuuPeople,1000
Constant Contact Forms by MailMunch,9000
Best Contact Management Software for WordPress,600
Contact form 7 Custom validation,2000
Local Search SEO Contact Page,3000
Contact Form Master – by Edmon,1000
Contact Form 7 SMS Integration,1000
Form – Contact Form Plugin,8000
Contact – Registration – Post Form Builder & FrontEnd Editor BuddyForms – Making WordPress Forms A Breeze,4000
Easy Contact PopUP,1000
Contact Form Multi by BestWebSoft,1000
Magic Tooltips For Contact Form 7,600
Политика конфиденциальности для сайта. Согласие под формами Contact-Form 7,1000
Easy UTM tracking with contact form 7,1000
Really Simple SSL,2000000
123ContactForm for WordPress,3000
Frontend Registration – Contact Form 7,3000
Dynamic Recipient for Contact Form 7,1000
WP Fluent Form – Contact Form Plugin for WordPress with Advanced Form Builder Features,700
Contact Form With Shortcode,500
Widget for Contact form 7,400
Post My CF7 Form,1000
Jetpack Contact Form Auto Reply,700
PVB Contact Form 7 Calculator Add-on,200
Front End PM,8000
"Smart Forms – Calculated Fields, Form Builder, Easy To Use",10000
Sticky Side Buttons,20000
Booking Calendar Contact Form,1000
WP GDPR Compliance,100000
Popup for Contact Form 7,3000
Spider Contacts by WD,900
"Cerber Security, Antispam & Malware Scan",100000
Popup contact form,2000
Active Campaign & Contact Form 7,100
HTML Contact Form,1000
Social Media Share Buttons & Social Sharing Icons,200000
Easy Registration Forms,2000
Contact Form 7 Editor Button,300
Contact Form 7 + Telegram,200
Contact Form 7 – Show Page,100
Contact Information Widget,3000
Easy Forms for MailChimp,100000
Táve Contact Form 7 Integration,200
Coming Soon Page & Maintenance Mode by SeedProd,800000
Contact Form 7 CPF/CNPJ Validations,800
"Hustle – Pop-Ups, Slide-ins and Email Opt-ins",80000
Simple Contact form 7 Wizard Multisteps Form,1000
Contact form 7 TO API,3000
International Telephone Input for Contact Form 7,5000
Contact Form 7 Email Validation,1000
Custom Dashboard Widget & Dashboard Contact Form,900
Storefront Homepage Contact Section,4000
AMP for WP – Accelerated Mobile Pages,100000
Contact Form Integration For Elementor (All in One),200
Ajax Contact Forms (ACF SP),60
Contact Form X,50
Contact Form 7 Salesforce,100
GDPR,40000
AntiRobot Contact Form,300
Contact Form 7 Campaign Monitor Extension,4000
WP Mail SMTP by WPForms,1000000
WhatsApp me,20000
Personal Contact Info Widget,2000
Materialize contact form,70
Ajax Search for WooCommerce,10000
Click to Chat for WhatsApp Chat,60000
Cleverwise Contact Page,100
GamiPress – Contact Form 7 integration,80
Multifile Upload Field for Contact Form 7,10000
Contact Form Check Tester,70
Contact Form 7 – Repeatable Fields,1000
Easiest Contact Form for WordPress – AP Contact Form,400
PTA Member Directory and Contact Form,1000
Contact Form 7 Custom Spinner,100
Contact Form Generator : Creative form builder for WordPress,6000
Visual Form Builder,100000
Popup by Supsystic,30000
Dialog Contact Form,100
LW Contact Form 7 Addon,4000
DYAMAR Contacts,40
HandL UTM Grabber,2000
SiteOrigin Widgets Bundle,1000000
Contact Form 7 – Clockwork SMS,700
Lightweight Contact Form,40
Rich Contact Widget,7000
Contact Form 7 Submission DOM tracking,1000
Contact Form 7 – Cleverreach Integration,100
Contact Form 7 to Mailjet,70
Save Contact Form 7,20000
Contact Form 7 – SMS.ru,500
PayPal for Contact Form 7,700
Contact Form 7 AWeber Extension,1000
Ivory Search – WordPress Search Plugin,10000
WP Maintenance Mode,600000
Tabby Responsive Tabs,40000
Homepage Helden Contact Info,80
Newsletter,300000
cformsII,10000
Contact Form 7 – PayPal Extension,2000
Affiliates Contact Form 7 Integration,1000
Lana Contact Form,60
Contact Form 7 – Gutenberg block,100
Custom Contact Forms,30000
Active Directory Integration / LDAP Integration,3000
Adaptación RGPD / LOPD,9000
Official Facebook Pixel,60000
Contact Form 7 Datepicker,100000
Hidden Field for Contact Form 7,2000
Contact Form 7 Cost Calculator – Price Calculation Free,4000
Schema,50000
File Manager,200000
Sliding captcha Field for Contact Form 7,50
Duplicate Page,700000
wp simple ajax contact form,100
Very Simple Google Maps,4000
WordPress Contact Forms by Cimatti,3000
CF7 AutoResponder Addon,2000
Paid Memberships Pro,70000
Contact Listing for WP Job Manager,20000
PowerPress Podcasting plugin by Blubrry,60000
Email Before Download,20000
Visual Builder for Contact Form 7,3000
"Popup Maker – Popup Forms, Optins & More",300000
ListPress Contact,60
Contact Form 7 To WordPress Post,100
Football Pool,1000
Premium Addons for Elementor,70000
WP Discord Post,1000
Tidio Live Chat,40000
